"netuid","name","verdict","written"
"107","Minos","Miners do best at 4.0: min_compute.yml carries a hardware table, and the tuning guide states the weights in prose, 60 15 15 10, with a worked example where 85 of 100 becomes 0.85. Buyers score 2.3 because the roadmap marks production deployment as a vision, no page prices anything, and the chain contact appears nowhere on the site. A dated no product yet statement would lift buyers most.","2026-09-10"
"51","lium.io","Buyers do best at 4.3: the pricing page lists every GPU model from 0.03 to 5.88 dollars per hour billed per second, and the docs carry a curl example and an OpenAPI spec. Stakers score 3.3 because no page gives a dated rental or revenue figure, there is no staker page, and the chain contact is unset. A dated revenue figure would lift stakers most.","2026-09-10"
"15","ORO","Newcomers do best at 4.5: the front page says in plain words who submits agents and who runs them, and a dated paper page gives ShoppingBench scores from 18.0 to 42.7 percent. Buyers score 2.5 because the roadmap puts the shopping product later with no date, and no page names a customer or a price. Naming who buys the arena output, with a date, would lift buyers most.","2026-09-10"
"120","Affine","Miners do best at 3.8: llms.txt, one click from the front page, gives a submit checklist, a two GPU slot on a B200 class pod, the min(R, G) score formula and dated fork notices. Buyers score 1.3 because the site offers only a chat box with the king: no price, no customer type, no support path, no contact. A README opening with one plain paragraph would lift the score most.","2026-09-10"
"64","Chutes","Buyers do best at 4.8: the pricing page gives per model prices per million tokens and GPU rates from 1.80 dollars an hour, status.chutes.ai shows daily uptime, and support@chutes.ai matches the chain contact. Miners score 3.3 because the docs overview describes GraVal while the chutes-miner README says it is unsupported, and no page gives a hardware table. One miner guide agreeing with the README would lift the score most.","2026-09-10"
"97","Albedo","Miners do best at 2.8: MINING.md walks through the albedo CLI commands, and SCORING.md names four equal weighted tag categories and a 2.5 point margin, though llms.txt says 3 percent. Buyers score 1.3 because the site offers a chat link and nothing else: no price, customer type, support path or contact. A README with one plain paragraph that links both docs and settles the margin would lift the score most.","2026-09-10"
"4","Targon","Newcomers do best at 4.0: the mission page states the difference as interruptible prices without interruption, the site links an Intel co-authored whitepaper dated 03.23.2026, and the chain description is a full sentence. Stakers score 3.0 because the front page counters read zero to a fetcher, every SKU is out of stock, and no page gives a dated usage figure. A dated utilization figure would lift stakers most.","2026-09-10"
"44","Score","Miners do best at 3.0: a validator note carries pillar weights with a worked table, and MINER.md sets a latency rule of 100 ms per frame. Buyers score 1.5 because the console is a JavaScript shell, entry is a contact form, and no page gives a price or API reference. A README that links the miner guide, the scoring note and the whitepaper would lift the score most.","2026-09-10"
"80","OpenRoboto","Miners do best at 4.0: a guide updated 2026-09-02 carries a what works today table, a 24 GB VRAM minimum, a fee of 0.1 or 1.5 TAO, and challenge rules paying the top three 70 20 10. Buyers score 2.0 because the checkpoints are open but no page names a customer, a price or a support path. Naming who buys the checkpoints, with a price, would lift buyers most.","2026-09-10"
"114","SOMA","Stakers do best at 3.8: the front page prices one model per million tokens with and without SOMA, and an incentive page dated 15 Jul 2026 gives benchmark weights of 50/25/25. Miners score 3.0 because the only hardware line sits under the validators heading, the registration cost is not stated, and the task changes by competition. A miner hardware and entry cost table would lift miners most.","2026-09-10"
