"netuid","rank","name","slice"
"107","1","Minos","a"
"51","2","lium.io","b"
"15","3","ORO","c"
"120","4","Affine","d"
"64","5","Chutes","a"
"97","6","Albedo","b"
"4","7","Targon","c"
"44","8","Score","d"
"80","9","OpenRoboto","a"
"114","10","SOMA","b"
"3","11","Teutonic","c"
"8","12","Vanta","d"
"9","13","iota","a"
"53","14","engy","b"
"93","15","Bitcast","c"
"68","16","NOVA","d"
"28","17","SayGM","a"
"91","18","cascade","b"
"110","19","Green Compute","c"
"75","20","Hippius","d"
"58","21","greevils","a"
"38","22","ChronoLLM","b"
"56","23","Gradients","c"
"118","24","Ditto","d"
"124","25","Swarm","a"
"61","26","RedTeam","b"
"83","27","CliqueAI","c"
"5","28","Hone","d"
"90","29","KubeTEE","a"
"34","30","BitMind","b"
"62","31","Ridges","c"
"19","32","blockmachine","d"
