"netuid","name","field","url","expected_text","result","detail","final_url"
"107","Minos","stakers.q1","https://theminos.ai/about","Minos transforms genomic variant calling, the process of identifying DNA mutations from sequencing data, into a decentralized competition","live","200","https://theminos.ai/about"
"107","Minos","stakers.q2","https://theminos.ai/dashboard","ACTIVE_MINERS 97 GENOMES_ANALYZED 140 CURRENT_ROUND LIVE","live_unconfirmed","200, quoted text absent","https://theminos.ai/dashboard"
"107","Minos","stakers.q3","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/scoring.md","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/scoring.md"
"107","Minos","stakers.q4","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/README.md","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/README.md"
"107","Minos","miners.q1","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/README.md","Miners will never be asked to upload outputs, they submit their variant-calling configuration","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/README.md"
"107","Minos","miners.q2","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/min_compute.yml","min_cores: 4","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/min_compute.yml"
"107","Minos","miners.q3","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/tuning_guide.md","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/tuning_guide.md"
"107","Minos","miners.q4","https://docs.theminos.ai/quickstart","","live","200","https://docs.theminos.ai/quickstart"
"107","Minos","buyers.q1","https://theminos.ai/roadmap","05 Production Deployment Ship the consensus caller as a production-grade service","live_unconfirmed","200, quoted text absent","https://theminos.ai/roadmap"
"107","Minos","buyers.q2","https://theminos.ai/whitepaper","hospitals, biobanks, and pharmaceutical companies can submit sequencing samples","live","200","https://theminos.ai/whitepaper"
"107","Minos","buyers.q3","https://theminos.ai/docs","","live","200","https://theminos.ai/docs"
"107","Minos","buyers.q4","https://docs.theminos.ai/llms.txt","","live","200","https://docs.theminos.ai/llms.txt"
"107","Minos","newcomers.q1","https://theminos.ai/about","Minos transforms genomic variant calling, the process of identifying DNA mutations from sequencing data, into a decentralized competition","live","200","https://theminos.ai/about"
"107","Minos","newcomers.q2","https://theminos.ai/about","Today, labs self-report accuracy with no independent verification. Pipelines go unchanged for years.","live","200","https://theminos.ai/about"
"107","Minos","newcomers.q3","https://theminos.ai/dashboard","","live_unconfirmed","200, quoted text absent","https://theminos.ai/dashboard"
"107","Minos","newcomers.q4","https://theminos.ai","","live","200","https://theminos.ai"
"107","Minos","sources","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/README.md","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/README.md"
"107","Minos","sources","https://theminos.ai","","live","200","https://theminos.ai"
"107","Minos","sources","https://theminos.ai/docs","","live","200","https://theminos.ai/docs"
"107","Minos","sources","https://github.com/minos-protocol/minos_subnet","","live","pushed_at 2026-09-04, archived=false","https://github.com/minos-protocol/minos_subnet"
"107","Minos","sources","https://theminos.ai/about","","live","200","https://theminos.ai/about"
"107","Minos","sources","https://theminos.ai/roadmap","","live_unconfirmed","200, quoted text absent","https://theminos.ai/roadmap"
"107","Minos","sources","https://theminos.ai/whitepaper","","live","200","https://theminos.ai/whitepaper"
"107","Minos","sources","https://theminos.ai/dashboard","","live_unconfirmed","200, quoted text absent","https://theminos.ai/dashboard"
"107","Minos","sources","https://theminos.ai/dashboard/miners","","live","200","https://theminos.ai/dashboard/miners"
"107","Minos","sources","https://theminos.ai/Minos_overview_v1.1.pdf","","live","200","https://theminos.ai/Minos_overview_v1.1.pdf"
"107","Minos","sources","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/tuning_guide.md","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/tuning_guide.md"
"107","Minos","sources","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/scoring.md","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/docs/scoring.md"
"107","Minos","sources","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/min_compute.yml","","live","200","https://raw.githubusercontent.com/minos-protocol/minos_subnet/main/min_compute.yml"
"107","Minos","sources","https://docs.theminos.ai","","live","200","https://docs.theminos.ai/overview"
"107","Minos","sources","https://docs.theminos.ai/llms.txt","","live","200","https://docs.theminos.ai/llms.txt"
"107","Minos","sources","https://docs.theminos.ai/quickstart","","live","200","https://docs.theminos.ai/quickstart"
"107","Minos","sources","https://docs.theminos.ai/architecture.md","","live","200","https://docs.theminos.ai/architecture.md"
"107","Minos","sources","https://mcp.theminos.ai/docs","","live","200","https://mcp.theminos.ai/docs/"
"107","Minos","sources","https://api.theminos.ai/scoring/network-config","","live","200","https://api.theminos.ai/scoring/network-config"
"107","Minos","sources","https://taostats.io/subnets/107","","live","200","https://taostats.io/subnets/107"
"107","Minos","artifacts.github","https://github.com/minos-protocol/minos_subnet","","live","pushed_at 2026-09-04, archived=false","https://github.com/minos-protocol/minos_subnet"
"107","Minos","artifacts.docs","https://docs.theminos.ai","","live","200","https://docs.theminos.ai/overview"
