"netuid","name","audience","q","agent_score","status","url","note","link_result","why_queued","decision","reviewer_note"
"107","Minos","stakers","q2","3","verified","https://theminos.ai/dashboard","""ACTIVE_MINERS 97 GENOMES_ANALYZED 140 CURRENT_ROUND LIVE"" live dashboard with rounds dated 09/09, miner activity only, no customers or revenue","live_unconfirmed","link live_unconfirmed","",""
"107","Minos","buyers","q1","3","verified","https://theminos.ai/roadmap","""05 Production Deployment Ship the consensus caller as a production-grade service"" is marked VISION, phase 1 is active, no product or API today, the MCP server exposes read-only subnet data only","live_unconfirmed","link live_unconfirmed","",""
"107","Minos","newcomers","q3","4","verified","https://theminos.ai/dashboard","live dashboard with SNP F1 0.9911 and INDEL F1 0.9816, 140 genomes analyzed, rounds dated 09/09, renders only with JavaScript, no explanation of how the numbers compare to a published benchmark","live_unconfirmed","link live_unconfirmed","",""
"51","lium.io","buyers","q1","5","verified","https://docs.lium.io/developers/api.md","""Authenticated endpoints accept your API key in the X-API-Key request header."" base URL https://lium.io/api with a curl example and an OpenAPI 3.1 spec at lium.io/api/openapi.json, front page lists live pods with prices and a pip install lium.io quick start","live","score 5","",""
"51","lium.io","buyers","q2","5","verified","https://lium.io/pricing","""Every pod is billed per second with no minimum."" price per GPU-hour for every GPU model from 0.03 to 5.88 dollars, renters, developers and AI agents named as the audience on the pricing and docs pages","live","score 5","",""
"15","ORO","miners","q1","5","verified","https://oroagents.com/docs/miners/agent-interface","""Every agent is a single Python file that defines one function: agent_main. The ORO sandbox calls this function once per shopping problem"" with input and output shape, tool table, minimal example","live","score 5","",""
"15","ORO","newcomers","q1","5","verified","https://oroagents.com","""Builders submit shopping agents. Independent validators run them against problems that change daily. The best agent earns the rewards, and every run becomes training data."" Front page, matches chain","live","score 5","",""
"15","ORO","newcomers","q3","5","verified","https://oroagents.com/whitepaper","dated paper page (blog June 1 2026) with ShoppingBench scores 18.0 to 42.7 percent and top miner 77.3 percent, models on Hugging Face, live counter on the front page, leaderboard is JS rendered","live","score 5","",""
"120","Affine","stakers","q1","3","verified","https://www.affine.io/llms.txt","""the validator crowns the reigning king by a single teacher-anchored distillation score"" output is a crowned checkpoint, no unit or price, one click from the front, machine register","live","top or bottom 5 by composite","",""
"120","Affine","stakers","q2","1","inferred","https://www.affine.io/","no usage figure, customer or revenue anywhere in own materials, the front page offers chat with the king and llms.txt says emissions go to recent kings, third-party pages carry no numbers either","live","top or bottom 5 by composite","",""
"120","Affine","stakers","q3","3","verified","https://www.affine.io/llms.txt","How the game works: one eval slot per hotkey burned at enqueue, copies of the king rejected, every dethrone gets a published exploit audit, no failure modes, assumes the reader knows the mechanism","live","top or bottom 5 by composite","",""
"120","Affine","stakers","q4","2","verified","https://github.com/AffineFoundation/affine","identity 6 of 7, discord field is the text consttt, url has no scheme but resolves, github resolves to a repo with no README (AGENTS.md and START_HERE.txt instead), no staker or validator page","live","top or bottom 5 by composite","",""
"120","Affine","miners","q1","4","verified","https://www.affine.io/llms.txt","""If you have a TAO-funded wallet you can mine Affine"" submit checklist: checkpoint directory in, signed manifest up, duel verdict out, one file one click from the front page, machine register","live","top or bottom 5 by composite","",""
"120","Affine","miners","q2","4","verified","https://www.affine.io/llms.txt","""the miner slot is 2 GPUs, tensor-parallel 2"" on an 8-GPU B200 class pod, registration cost pointed to btcli burn-cost 120 and the snapshot API (chain burn 0.85 TAO), no plain competitiveness line","live","top or bottom 5 by composite","",""
"120","Affine","miners","q3","3","verified","https://www.affine.io/llms.txt","min(R, G) score in prose and formula, one submission per hotkey ever, a challenger dethrones the king only above max(2 SE, 0.002), no example numbers, no immunity or deregistration policy","live","top or bottom 5 by composite","",""
"120","Affine","miners","q4","4","verified","https://www.affine.io/llms.txt","the submit checklist is the miner guide with dated fork notices (wvk 13 posted 2026-09-07, effective 2026-09-09), repo pushed 2026-09-09, no releases, no README so the guide lives only on the site","live","top or bottom 5 by composite","",""
"120","Affine","buyers","q1","3","verified","https://www.affine.io/","""Talk directly to the reigning SN120 king"" chat box on the front page and crowned weights published under models.affine.io, no product page, no inference API, no example","live","top or bottom 5 by composite","",""
"120","Affine","buyers","q2","0","inferred","","no pricing and no customer type on the site, in llms.txt, in the repo or in third-party pages","","score 0; top or bottom 5 by composite","",""
"120","Affine","buyers","q3","0","inferred","","no status page, SLA, support address or support path on the site or in the repo, the discord identity field is not a link","","score 0; top or bottom 5 by composite","",""
